日期（Unix time）,第1近大台期貨距到期日秒數,第1近大台期貨開盤價,第1近大台期貨收盤價,第1近大台期貨成交量,第1近大台期貨未沖銷契約數,第2近大台期貨距到期日秒數,第2近大台期貨開盤價,第2近大台期貨收盤價,第2近大台期貨成交量,第2近大台期貨未沖銷契約數,第3近大台期貨距到期日秒數,第3近大台期貨開盤價,第3近大台期貨收盤價,第3近大台期貨成交量,第3近大台期貨未沖銷契約數,第4近大台期貨距到期日秒數,第4近大台期貨開盤價,第4近大台期貨收盤價,第4近大台期貨成交量,第4近大台期貨未沖銷契約數,第5近大台期貨距到期日秒數,第5近大台期貨開盤價,第5近大台期貨收盤價,第5近大台期貨成交量,第5近大台期貨未沖銷契約數,第6近大台期貨距到期日秒數,第6近大台期貨開盤價,第6近大台期貨收盤價,第6近大台期貨成交量,第6近大台期貨未沖銷契約數
1420387200.000000,1431000.000000,9238.000000,9252.000000,120487.000000,63140.000000,3850200.000000,9242.000000,9246.000000,2857.000000,4529.000000,6269400.000000,9228.000000,9244.000000,386.000000,2740.000000,14131800.000000,9218.000000,9227.000000,164.000000,1377.000000,21994200.000000,8948.000000,8998.000000,110.000000,786.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1420473600.000000,1344600.000000,9144.000000,9058.000000,148125.000000,59897.000000,3763800.000000,9145.000000,9054.000000,3565.000000,4741.000000,6183000.000000,9140.000000,9050.000000,531.000000,2780.000000,14045400.000000,9135.000000,9032.000000,290.000000,1345.000000,21907800.000000,8900.000000,8794.000000,123.000000,850.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1420560000.000000,1258200.000000,9042.000000,9045.000000,93314.000000,60983.000000,3677400.000000,9036.000000,9040.000000,2686.000000,4650.000000,6096600.000000,9038.000000,9036.000000,273.000000,2785.000000,13959000.000000,9015.000000,9017.000000,113.000000,1347.000000,21821400.000000,8780.000000,8789.000000,38.000000,855.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1420646400.000000,1171800.000000,9116.000000,9257.000000,131883.000000,65311.000000,3591000.000000,9116.000000,9254.000000,3682.000000,5047.000000,6010200.000000,9102.000000,9246.000000,402.000000,2796.000000,13872600.000000,9097.000000,9230.000000,238.000000,1372.000000,21735000.000000,8861.000000,8990.000000,129.000000,844.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1420732800.000000,1085400.000000,9328.000000,9230.000000,117874.000000,61302.000000,3504600.000000,9317.000000,9230.000000,3320.000000,5440.000000,5923800.000000,9324.000000,9225.000000,282.000000,2852.000000,13786200.000000,9298.000000,9208.000000,137.000000,1358.000000,21648600.000000,9077.000000,8971.000000,99.000000,858.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1420992000.000000,826200.000000,9190.000000,9185.000000,97827.000000,63277.000000,3245400.000000,9183.000000,9183.000000,2944.000000,5949.000000,5664600.000000,9180.000000,9178.000000,233.000000,2836.000000,13527000.000000,9168.000000,9160.000000,189.000000,1446.000000,21389400.000000,8920.000000,8920.000000,85.000000,880.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421078400.000000,739800.000000,9194.000000,9249.000000,127705.000000,65512.000000,3159000.000000,9194.000000,9250.000000,4318.000000,7032.000000,5578200.000000,9193.000000,9246.000000,307.000000,2869.000000,13440600.000000,9164.000000,9234.000000,264.000000,1510.000000,21303000.000000,8902.000000,8990.000000,76.000000,854.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421164800.000000,653400.000000,9235.000000,9171.000000,122662.000000,61421.000000,3072600.000000,9241.000000,9172.000000,4429.000000,8237.000000,5491800.000000,9227.000000,9170.000000,278.000000,2873.000000,13354200.000000,9228.000000,9158.000000,167.000000,1529.000000,21216600.000000,8970.000000,8912.000000,80.000000,892.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421251200.000000,567000.000000,9187.000000,9195.000000,116348.000000,59782.000000,2986200.000000,9186.000000,9200.000000,6104.000000,9069.000000,5405400.000000,9184.000000,9196.000000,305.000000,2845.000000,13267800.000000,9161.000000,9184.000000,140.000000,1567.000000,21130200.000000,8940.000000,8939.000000,70.000000,913.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421337600.000000,480600.000000,9175.000000,9115.000000,160290.000000,54646.000000,2899800.000000,9179.000000,9122.000000,16613.000000,17145.000000,5319000.000000,9180.000000,9119.000000,513.000000,2883.000000,13181400.000000,9161.000000,9102.000000,158.000000,1593.000000,21043800.000000,8966.000000,8862.000000,70.000000,918.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421596800.000000,221400.000000,9211.000000,9181.000000,134142.000000,40858.000000,2640600.000000,9210.000000,9185.000000,27924.000000,27125.000000,5059800.000000,9198.000000,9183.000000,607.000000,3074.000000,12922200.000000,9194.000000,9170.000000,266.000000,1570.000000,20784600.000000,8950.000000,8930.000000,142.000000,956.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421683200.000000,135000.000000,9220.000000,9268.000000,121592.000000,34707.000000,2554200.000000,9228.000000,9275.000000,33314.000000,39638.000000,4973400.000000,9220.000000,9269.000000,588.000000,2978.000000,12835800.000000,9205.000000,9254.000000,227.000000,1628.000000,20698200.000000,8964.000000,9010.000000,96.000000,948.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421769600.000000,48600.000000,9282.000000,9308.000000,64253.000000,21565.000000,2467800.000000,9298.000000,9313.000000,64565.000000,50949.000000,4887000.000000,9290.000000,9310.000000,626.000000,3241.000000,12749400.000000,9276.000000,9296.000000,348.000000,1689.000000,20611800.000000,9030.000000,9046.000000,79.000000,964.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421856000.000000,2381400.000000,9360.000000,9388.000000,108180.000000,56872.000000,4800600.000000,9350.000000,9387.000000,1598.000000,3666.000000,12663000.000000,9345.000000,9380.000000,593.000000,1868.000000,20525400.000000,9088.000000,9121.000000,268.000000,960.000000,28387800.000000,9070.000000,9116.000000,73.000000,41.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1421942400.000000,2295000.000000,9455.000000,9461.000000,92808.000000,58684.000000,4714200.000000,9452.000000,9463.000000,1393.000000,3819.000000,12576600.000000,9443.000000,9450.000000,516.000000,1933.000000,20439000.000000,9180.000000,9195.000000,116.000000,977.000000,28301400.000000,9178.000000,9190.000000,151.000000,79.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1422201600.000000,2035800.000000,9448.000000,9466.000000,68310.000000,61021.000000,4455000.000000,9440.000000,9466.000000,1038.000000,3992.000000,12317400.000000,9431.000000,9458.000000,144.000000,1901.000000,20179800.000000,9169.000000,9198.000000,91.000000,948.000000,28042200.000000,9160.000000,9192.000000,120.000000,115.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1422288000.000000,1949400.000000,9522.000000,9523.000000,90397.000000,63259.000000,4368600.000000,9520.000000,9523.000000,1712.000000,4210.000000,12231000.000000,9508.000000,9514.000000,367.000000,1914.000000,20093400.000000,9246.000000,9255.000000,69.000000,940.000000,27955800.000000,9242.000000,9250.000000,69.000000,134.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1422374400.000000,1863000.000000,9478.000000,9526.000000,75013.000000,63640.000000,4282200.000000,9478.000000,9529.000000,1714.000000,4812.000000,12144600.000000,9463.000000,9516.000000,200.000000,1988.000000,20007000.000000,9210.000000,9261.000000,79.000000,952.000000,27869400.000000,9205.000000,9256.000000,52.000000,142.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1422460800.000000,1776600.000000,9497.000000,9428.000000,116368.000000,63799.000000,4195800.000000,9493.000000,9432.000000,2329.000000,4904.000000,12058200.000000,9491.000000,9423.000000,210.000000,1985.000000,19920600.000000,9226.000000,9165.000000,69.000000,955.000000,27783000.000000,9222.000000,9158.000000,71.000000,155.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1422547200.000000,1690200.000000,9460.000000,9400.000000,97244.000000,62464.000000,4109400.000000,9460.000000,9404.000000,1802.000000,5447.000000,11971800.000000,9455.000000,9390.000000,263.000000,1997.000000,19834200.000000,9200.000000,9136.000000,42.000000,959.000000,27696600.000000,9200.000000,9132.000000,56.000000,157.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1422806400.000000,1431000.000000,9389.000000,9419.000000,85483.000000,67710.000000,3850200.000000,9388.000000,9424.000000,1801.000000,6043.000000,11712600.000000,9382.000000,9419.000000,181.000000,2051.000000,19575000.000000,9130.000000,9160.000000,54.000000,970.000000,27437400.000000,9146.000000,9162.000000,37.000000,167.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1422892800.000000,1344600.000000,9434.000000,9464.000000,95115.000000,67911.000000,3763800.000000,9443.000000,9468.000000,2277.000000,6633.000000,11626200.000000,9443.000000,9469.000000,214.000000,2078.000000,19488600.000000,9170.000000,9209.000000,44.000000,965.000000,27351000.000000,9182.000000,9205.000000,48.000000,170.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1422979200.000000,1258200.000000,9526.000000,9521.000000,86781.000000,64468.000000,3677400.000000,9522.000000,9526.000000,2664.000000,7283.000000,11539800.000000,9511.000000,9522.000000,525.000000,2154.000000,19402200.000000,9281.000000,9266.000000,143.000000,965.000000,27264600.000000,9265.000000,9265.000000,102.000000,174.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1423065600.000000,1171800.000000,9521.000000,9514.000000,79030.000000,63524.000000,3591000.000000,9521.000000,9520.000000,2297.000000,7873.000000,11453400.000000,9500.000000,9513.000000,240.000000,2229.000000,19315800.000000,9250.000000,9261.000000,54.000000,964.000000,27178200.000000,9250.000000,9259.000000,45.000000,185.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1423152000.000000,1085400.000000,9536.000000,9469.000000,96048.000000,61419.000000,3504600.000000,9545.000000,9476.000000,3219.000000,8753.000000,11367000.000000,9532.000000,9470.000000,263.000000,2301.000000,19229400.000000,9268.000000,9216.000000,50.000000,954.000000,27091800.000000,9280.000000,9218.000000,49.000000,197.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1423411200.000000,826200.000000,9439.000000,9450.000000,78599.000000,62855.000000,3245400.000000,9443.000000,9461.000000,3367.000000,10600.000000,11107800.000000,9403.000000,9456.000000,370.000000,2482.000000,18970200.000000,9187.000000,9203.000000,24.000000,952.000000,26832600.000000,9186.000000,9201.000000,26.000000,200.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1423497600.000000,739800.000000,9468.000000,9432.000000,86724.000000,62607.000000,3159000.000000,9479.000000,9442.000000,4794.000000,13051.000000,11021400.000000,9461.000000,9439.000000,183.000000,2562.000000,18883800.000000,9224.000000,9181.000000,26.000000,951.000000,26746200.000000,9211.000000,9185.000000,32.000000,205.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1423584000.000000,653400.000000,9462.000000,9480.000000,88756.000000,55949.000000,3072600.000000,9464.000000,9487.000000,10109.000000,17733.000000,10935000.000000,9470.000000,9481.000000,240.000000,2561.000000,18797400.000000,9215.000000,9220.000000,164.000000,981.000000,26659800.000000,9210.000000,9219.000000,106.000000,234.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1423670400.000000,567000.000000,9499.000000,9480.000000,80128.000000,44581.000000,2986200.000000,9500.000000,9502.000000,26055.000000,32939.000000,10848600.000000,9489.000000,9498.000000,326.000000,2663.000000,18711000.000000,9235.000000,9231.000000,125.000000,1016.000000,26573400.000000,9227.000000,9236.000000,52.000000,246.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1423756800.000000,480600.000000,9510.000000,9514.000000,85659.000000,30137.000000,2899800.000000,9524.000000,9537.000000,24546.000000,44630.000000,10762200.000000,9520.000000,9535.000000,419.000000,2851.000000,18624600.000000,9260.000000,9272.000000,80.000000,1016.000000,26487000.000000,9260.000000,9265.000000,100.000000,262.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1424707200.000000,135000.000000,9582.000000,9622.000000,46780.000000,20488.000000,1949400.000000,9603.000000,9649.000000,53743.000000,56776.000000,9811800.000000,9600.000000,9648.000000,813.000000,2987.000000,17674200.000000,9322.000000,9383.000000,106.000000,1014.000000,25536600.000000,9331.000000,9378.000000,104.000000,224.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1424793600.000000,1863000.000000,9694.000000,9684.000000,66977.000000,59601.000000,4282200.000000,9694.000000,9685.000000,657.000000,437.000000,9725400.000000,9689.000000,9686.000000,374.000000,3056.000000,17587800.000000,9431.000000,9418.000000,97.000000,1017.000000,25450200.000000,9425.000000,9414.000000,75.000000,225.000000,0.000000,0.000000,0.000000,0.000000,0.000000
