日期（Unix time）,第1近大台期貨距到期日秒數,第1近大台期貨開盤價,第1近大台期貨收盤價,第1近大台期貨成交量,第1近大台期貨未沖銷契約數,第2近大台期貨距到期日秒數,第2近大台期貨開盤價,第2近大台期貨收盤價,第2近大台期貨成交量,第2近大台期貨未沖銷契約數,第3近大台期貨距到期日秒數,第3近大台期貨開盤價,第3近大台期貨收盤價,第3近大台期貨成交量,第3近大台期貨未沖銷契約數,第4近大台期貨距到期日秒數,第4近大台期貨開盤價,第4近大台期貨收盤價,第4近大台期貨成交量,第4近大台期貨未沖銷契約數,第5近大台期貨距到期日秒數,第5近大台期貨開盤價,第5近大台期貨收盤價,第5近大台期貨成交量,第5近大台期貨未沖銷契約數,第6近大台期貨距到期日秒數,第6近大台期貨開盤價,第6近大台期貨收盤價,第6近大台期貨成交量,第6近大台期貨未沖銷契約數
1609689600.000000,1431000.000000,14640.000000,14874.000000,137069.000000,96894.000000,3850200.000000,14581.000000,14800.000000,2313.000000,9568.000000,6269400.000000,14493.000000,14725.000000,298.000000,6939.000000,14131800.000000,14393.000000,14550.000000,53.000000,1623.000000,21994200.000000,13935.000000,14142.000000,134.000000,571.000000,29856600.000000,13833.000000,14028.000000,47.000000,163.000000
1609776000.000000,1344600.000000,14874.000000,14977.000000,110886.000000,96044.000000,3763800.000000,14796.000000,14902.000000,1954.000000,10643.000000,6183000.000000,14729.000000,14827.000000,210.000000,7067.000000,14045400.000000,14555.000000,14645.000000,67.000000,1640.000000,21907800.000000,14160.000000,14250.000000,38.000000,575.000000,29770200.000000,14020.000000,14112.000000,34.000000,165.000000
1609862400.000000,1258200.000000,15048.000000,14911.000000,233806.000000,93545.000000,3677400.000000,14968.000000,14832.000000,3753.000000,11586.000000,6096600.000000,14884.000000,14756.000000,1138.000000,7927.000000,13959000.000000,14723.000000,14589.000000,169.000000,1723.000000,21821400.000000,14325.000000,14198.000000,93.000000,618.000000,29683800.000000,14178.000000,14070.000000,75.000000,198.000000
1609948800.000000,1171800.000000,15050.000000,15230.000000,151918.000000,96154.000000,3591000.000000,14978.000000,15149.000000,3891.000000,12200.000000,6010200.000000,14881.000000,15060.000000,608.000000,8227.000000,13872600.000000,14720.000000,14880.000000,59.000000,1706.000000,21735000.000000,14320.000000,14490.000000,66.000000,633.000000,29597400.000000,14207.000000,14343.000000,50.000000,214.000000
1610035200.000000,1085400.000000,15376.000000,15454.000000,158703.000000,95314.000000,3504600.000000,15295.000000,15387.000000,3257.000000,13491.000000,5923800.000000,15217.000000,15305.000000,524.000000,8335.000000,13786200.000000,15055.000000,15118.000000,232.000000,1801.000000,21648600.000000,14640.000000,14716.000000,234.000000,829.000000,29511000.000000,14521.000000,14585.000000,60.000000,223.000000
1610294400.000000,826200.000000,15420.000000,15534.000000,139479.000000,95732.000000,3245400.000000,15353.000000,15464.000000,2773.000000,14913.000000,5664600.000000,15290.000000,15380.000000,463.000000,8611.000000,13527000.000000,15128.000000,15196.000000,499.000000,2193.000000,21389400.000000,14650.000000,14791.000000,71.000000,859.000000,29251800.000000,14586.000000,14652.000000,27.000000,224.000000
1610380800.000000,739800.000000,15517.000000,15493.000000,175838.000000,96686.000000,3159000.000000,15443.000000,15423.000000,4266.000000,16844.000000,5578200.000000,15371.000000,15340.000000,416.000000,8829.000000,13440600.000000,15193.000000,15150.000000,212.000000,2497.000000,21303000.000000,14808.000000,14749.000000,46.000000,887.000000,29165400.000000,14660.000000,14610.000000,26.000000,241.000000
1610467200.000000,653400.000000,15557.000000,15764.000000,154811.000000,99559.000000,3072600.000000,15488.000000,15690.000000,3326.000000,17240.000000,5491800.000000,15387.000000,15598.000000,450.000000,8732.000000,13354200.000000,15215.000000,15403.000000,367.000000,2753.000000,21216600.000000,14820.000000,15000.000000,81.000000,910.000000,29079000.000000,14694.000000,14860.000000,78.000000,273.000000
1610553600.000000,567000.000000,15705.000000,15729.000000,121305.000000,96100.000000,2986200.000000,15623.000000,15658.000000,4307.000000,20015.000000,5405400.000000,15550.000000,15582.000000,348.000000,8994.000000,13267800.000000,15336.000000,15382.000000,55.000000,2787.000000,21130200.000000,14935.000000,14973.000000,56.000000,908.000000,28992600.000000,14796.000000,14841.000000,18.000000,278.000000
1610640000.000000,480600.000000,15950.000000,15634.000000,231505.000000,85266.000000,2899800.000000,15875.000000,15574.000000,9166.000000,23916.000000,5319000.000000,15782.000000,15489.000000,674.000000,9270.000000,13181400.000000,15631.000000,15300.000000,143.000000,2827.000000,21043800.000000,15211.000000,14863.000000,187.000000,996.000000,28906200.000000,15084.000000,14776.000000,41.000000,289.000000
1610899200.000000,221400.000000,15637.000000,15606.000000,200935.000000,66865.000000,2640600.000000,15595.000000,15559.000000,35167.000000,45595.000000,5059800.000000,15520.000000,15478.000000,681.000000,9203.000000,12922200.000000,15319.000000,15292.000000,146.000000,2926.000000,20784600.000000,14919.000000,14870.000000,60.000000,999.000000,28647000.000000,14765.000000,14705.000000,46.000000,291.000000
1610985600.000000,135000.000000,15714.000000,15888.000000,173474.000000,39927.000000,2554200.000000,15651.000000,15847.000000,47216.000000,63754.000000,4973400.000000,15580.000000,15768.000000,536.000000,9152.000000,12835800.000000,15420.000000,15571.000000,127.000000,2905.000000,20698200.000000,15007.000000,15178.000000,104.000000,1005.000000,28560600.000000,14857.000000,15045.000000,103.000000,349.000000
1611072000.000000,48600.000000,15899.000000,15766.000000,119559.000000,26124.000000,2467800.000000,15845.000000,15736.000000,93143.000000,77727.000000,4887000.000000,15769.000000,15659.000000,1222.000000,9800.000000,12749400.000000,15597.000000,15464.000000,95.000000,2917.000000,20611800.000000,15196.000000,15062.000000,277.000000,1184.000000,28474200.000000,15064.000000,14931.000000,46.000000,375.000000
1611158400.000000,2381400.000000,15803.000000,16129.000000,231416.000000,81399.000000,4800600.000000,15730.000000,16048.000000,2591.000000,10269.000000,7824600.000000,15656.000000,15986.000000,281.000000,159.000000,12663000.000000,15526.000000,15846.000000,170.000000,2921.000000,20525400.000000,15117.000000,15439.000000,216.000000,1202.000000,28387800.000000,14983.000000,15301.000000,97.000000,411.000000
1611244800.000000,2295000.000000,16051.000000,15984.000000,161218.000000,84234.000000,4714200.000000,15990.000000,15910.000000,1659.000000,11095.000000,7738200.000000,15900.000000,15855.000000,80.000000,190.000000,12576600.000000,15740.000000,15724.000000,60.000000,2928.000000,20439000.000000,15393.000000,15314.000000,92.000000,1274.000000,28301400.000000,15175.000000,15178.000000,21.000000,433.000000
