日期（Unix time）,第1近大台期貨距到期日秒數,第1近大台期貨開盤價,第1近大台期貨收盤價,第1近大台期貨成交量,第1近大台期貨未沖銷契約數,第2近大台期貨距到期日秒數,第2近大台期貨開盤價,第2近大台期貨收盤價,第2近大台期貨成交量,第2近大台期貨未沖銷契約數,第3近大台期貨距到期日秒數,第3近大台期貨開盤價,第3近大台期貨收盤價,第3近大台期貨成交量,第3近大台期貨未沖銷契約數,第4近大台期貨距到期日秒數,第4近大台期貨開盤價,第4近大台期貨收盤價,第4近大台期貨成交量,第4近大台期貨未沖銷契約數,第5近大台期貨距到期日秒數,第5近大台期貨開盤價,第5近大台期貨收盤價,第5近大台期貨成交量,第5近大台期貨未沖銷契約數,第6近大台期貨距到期日秒數,第6近大台期貨開盤價,第6近大台期貨收盤價,第6近大台期貨成交量,第6近大台期貨未沖銷契約數
1451836800.000000,1431000.000000,8262.000000,8075.000000,191331.000000,57274.000000,3850200.000000,8246.000000,8057.000000,3387.000000,4194.000000,6269400.000000,8261.000000,8049.000000,441.000000,3715.000000,14131800.000000,8233.000000,8029.000000,269.000000,1923.000000,22599000.000000,7955.000000,7744.000000,122.000000,1605.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1451923200.000000,1344600.000000,8099.000000,8025.000000,164756.000000,57249.000000,3763800.000000,8078.000000,8008.000000,3785.000000,5600.000000,6183000.000000,8048.000000,8000.000000,343.000000,3721.000000,14045400.000000,8032.000000,7980.000000,255.000000,1887.000000,22512600.000000,7750.000000,7703.000000,161.000000,1643.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1452009600.000000,1258200.000000,8038.000000,7971.000000,200598.000000,56716.000000,3677400.000000,8026.000000,7957.000000,3794.000000,6953.000000,6096600.000000,8007.000000,7945.000000,507.000000,3703.000000,13959000.000000,7989.000000,7928.000000,401.000000,1943.000000,22426200.000000,7713.000000,7647.000000,300.000000,1751.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1452096000.000000,1171800.000000,7956.000000,7799.000000,246399.000000,56044.000000,3591000.000000,7942.000000,7783.000000,3651.000000,7816.000000,6010200.000000,7931.000000,7779.000000,564.000000,3666.000000,13872600.000000,7910.000000,7754.000000,482.000000,1927.000000,22339800.000000,7621.000000,7478.000000,345.000000,1918.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1452182400.000000,1085400.000000,7755.000000,7868.000000,182333.000000,56273.000000,3504600.000000,7727.000000,7846.000000,3590.000000,8895.000000,5923800.000000,7726.000000,7831.000000,633.000000,3634.000000,13786200.000000,7703.000000,7811.000000,331.000000,1964.000000,22253400.000000,7423.000000,7519.000000,126.000000,1948.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1452441600.000000,826200.000000,7730.000000,7740.000000,184748.000000,57286.000000,3245400.000000,7706.000000,7718.000000,5287.000000,10531.000000,5664600.000000,7703.000000,7701.000000,504.000000,3638.000000,13527000.000000,7686.000000,7676.000000,413.000000,2094.000000,21994200.000000,7396.000000,7392.000000,171.000000,2009.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1452528000.000000,739800.000000,7800.000000,7709.000000,176648.000000,58150.000000,3159000.000000,7768.000000,7679.000000,5123.000000,12243.000000,5578200.000000,7744.000000,7660.000000,434.000000,3646.000000,13440600.000000,7707.000000,7630.000000,225.000000,2140.000000,21907800.000000,7431.000000,7342.000000,112.000000,2030.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1452614400.000000,653400.000000,7784.000000,7806.000000,188268.000000,57143.000000,3072600.000000,7747.000000,7779.000000,5609.000000,13377.000000,5491800.000000,7752.000000,7762.000000,543.000000,3701.000000,13354200.000000,7706.000000,7734.000000,449.000000,2149.000000,21821400.000000,7413.000000,7435.000000,162.000000,2036.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1452700800.000000,567000.000000,7647.000000,7716.000000,171850.000000,56930.000000,2986200.000000,7624.000000,7694.000000,9685.000000,16046.000000,5405400.000000,7608.000000,7677.000000,447.000000,3721.000000,13267800.000000,7575.000000,7650.000000,522.000000,2412.000000,21735000.000000,7283.000000,7344.000000,171.000000,2111.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1452787200.000000,480600.000000,7801.000000,7665.000000,183418.000000,52072.000000,2899800.000000,7786.000000,7637.000000,12171.000000,21073.000000,5319000.000000,7758.000000,7622.000000,683.000000,3606.000000,13181400.000000,7740.000000,7594.000000,269.000000,2442.000000,21648600.000000,7426.000000,7299.000000,102.000000,2103.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453046400.000000,221400.000000,7513.000000,7814.000000,241486.000000,44066.000000,2640600.000000,7470.000000,7790.000000,31784.000000,31473.000000,5059800.000000,7468.000000,7771.000000,1001.000000,3620.000000,12922200.000000,7416.000000,7732.000000,694.000000,2417.000000,21389400.000000,7143.000000,7428.000000,232.000000,2148.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453132800.000000,135000.000000,7786.000000,7867.000000,165954.000000,33718.000000,2554200.000000,7780.000000,7837.000000,37859.000000,43729.000000,4973400.000000,7761.000000,7818.000000,682.000000,3532.000000,12835800.000000,7751.000000,7784.000000,244.000000,2455.000000,21303000.000000,7411.000000,7484.000000,158.000000,2161.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453219200.000000,48600.000000,7797.000000,7705.000000,116624.000000,21948.000000,2467800.000000,7755.000000,7592.000000,116248.000000,55214.000000,4887000.000000,7768.000000,7569.000000,1743.000000,3318.000000,12749400.000000,7720.000000,7530.000000,390.000000,2447.000000,21216600.000000,7412.000000,7239.000000,205.000000,2149.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453305600.000000,2381400.000000,7659.000000,7613.000000,202230.000000,57844.000000,4800600.000000,7630.000000,7591.000000,1833.000000,3686.000000,12663000.000000,7535.000000,7531.000000,371.000000,2349.000000,21130200.000000,7290.000000,7225.000000,205.000000,2154.000000,28992600.000000,7250.000000,7188.000000,77.000000,59.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453392000.000000,2295000.000000,7730.000000,7748.000000,183045.000000,59046.000000,4714200.000000,7694.000000,7721.000000,1588.000000,3949.000000,12576600.000000,7656.000000,7667.000000,345.000000,2443.000000,21043800.000000,7343.000000,7359.000000,176.000000,2152.000000,28906200.000000,7294.000000,7327.000000,38.000000,79.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453651200.000000,2035800.000000,7768.000000,7833.000000,145944.000000,57528.000000,4455000.000000,7741.000000,7808.000000,1797.000000,4287.000000,12317400.000000,7690.000000,7756.000000,353.000000,2404.000000,20784600.000000,7389.000000,7446.000000,224.000000,2171.000000,28647000.000000,7345.000000,7411.000000,42.000000,105.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453737600.000000,1949400.000000,7784.000000,7779.000000,145032.000000,55515.000000,4368600.000000,7752.000000,7750.000000,1946.000000,4950.000000,12231000.000000,7711.000000,7696.000000,179.000000,2445.000000,20698200.000000,7394.000000,7381.000000,100.000000,2210.000000,28560600.000000,7350.000000,7352.000000,97.000000,150.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453824000.000000,1863000.000000,7850.000000,7839.000000,145619.000000,58807.000000,4282200.000000,7819.000000,7810.000000,2110.000000,5511.000000,12144600.000000,7762.000000,7751.000000,130.000000,2481.000000,20611800.000000,7449.000000,7443.000000,184.000000,2251.000000,28474200.000000,7420.000000,7412.000000,67.000000,197.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1453910400.000000,1776600.000000,7800.000000,7855.000000,153244.000000,59826.000000,4195800.000000,7773.000000,7829.000000,2660.000000,5963.000000,12058200.000000,7720.000000,7774.000000,261.000000,2551.000000,20525400.000000,7398.000000,7458.000000,184.000000,2343.000000,28387800.000000,7379.000000,7428.000000,100.000000,254.000000,0.000000,0.000000,0.000000,0.000000,0.000000
