日期（Unix time）,第1近大台期貨距到期日秒數,第1近大台期貨開盤價,第1近大台期貨收盤價,第1近大台期貨成交量,第1近大台期貨未沖銷契約數,第2近大台期貨距到期日秒數,第2近大台期貨開盤價,第2近大台期貨收盤價,第2近大台期貨成交量,第2近大台期貨未沖銷契約數,第3近大台期貨距到期日秒數,第3近大台期貨開盤價,第3近大台期貨收盤價,第3近大台期貨成交量,第3近大台期貨未沖銷契約數,第4近大台期貨距到期日秒數,第4近大台期貨開盤價,第4近大台期貨收盤價,第4近大台期貨成交量,第4近大台期貨未沖銷契約數,第5近大台期貨距到期日秒數,第5近大台期貨開盤價,第5近大台期貨收盤價,第5近大台期貨成交量,第5近大台期貨未沖銷契約數,第6近大台期貨距到期日秒數,第6近大台期貨開盤價,第6近大台期貨收盤價,第6近大台期貨成交量,第6近大台期貨未沖銷契約數
1577894400.000000,1171800.000000,12044.000000,12102.000000,100401.000000,87608.000000,4195800.000000,12038.000000,12092.000000,1756.000000,2806.000000,6615000.000000,12014.000000,12070.000000,172.000000,2441.000000,14477400.000000,11971.000000,12024.000000,46.000000,836.000000,22339800.000000,11602.000000,11655.000000,86.000000,595.000000,30202200.000000,11560.000000,11601.000000,46.000000,140.000000
1577980800.000000,1085400.000000,12180.000000,12086.000000,172660.000000,85123.000000,4109400.000000,12170.000000,12075.000000,3483.000000,3391.000000,6528600.000000,12149.000000,12061.000000,337.000000,2541.000000,14391000.000000,12100.000000,12011.000000,202.000000,869.000000,22253400.000000,11736.000000,11634.000000,95.000000,588.000000,30115800.000000,11677.000000,11592.000000,65.000000,163.000000
1578240000.000000,826200.000000,12017.000000,11950.000000,118380.000000,86049.000000,3850200.000000,12015.000000,11937.000000,2095.000000,3796.000000,6269400.000000,12001.000000,11923.000000,207.000000,2656.000000,14131800.000000,11940.000000,11878.000000,81.000000,905.000000,21994200.000000,11572.000000,11511.000000,76.000000,601.000000,29856600.000000,11523.000000,11458.000000,57.000000,182.000000
1578326400.000000,739800.000000,11995.000000,11871.000000,157264.000000,82993.000000,3763800.000000,11985.000000,11860.000000,4022.000000,4745.000000,6183000.000000,11962.000000,11848.000000,418.000000,2717.000000,14045400.000000,11932.000000,11800.000000,90.000000,924.000000,21907800.000000,11560.000000,11431.000000,100.000000,615.000000,29770200.000000,11513.000000,11387.000000,67.000000,198.000000
1578412800.000000,653400.000000,11728.000000,11788.000000,158971.000000,81175.000000,3677400.000000,11719.000000,11773.000000,4845.000000,6671.000000,6096600.000000,11708.000000,11756.000000,504.000000,2888.000000,13959000.000000,11659.000000,11714.000000,106.000000,909.000000,21821400.000000,11294.000000,11348.000000,99.000000,598.000000,29683800.000000,11233.000000,11295.000000,37.000000,204.000000
1578499200.000000,567000.000000,11919.000000,11968.000000,115014.000000,80949.000000,3591000.000000,11900.000000,11958.000000,7530.000000,10884.000000,6010200.000000,11884.000000,11941.000000,510.000000,3100.000000,13872600.000000,11836.000000,11890.000000,281.000000,1059.000000,21735000.000000,11466.000000,11524.000000,76.000000,582.000000,29597400.000000,11419.000000,11472.000000,37.000000,201.000000
1578585600.000000,480600.000000,12005.000000,12010.000000,114171.000000,72684.000000,3504600.000000,11988.000000,11997.000000,18562.000000,23938.000000,5923800.000000,11977.000000,11977.000000,242.000000,3085.000000,13786200.000000,11928.000000,11914.000000,38.000000,1066.000000,21648600.000000,11561.000000,11563.000000,50.000000,575.000000,29511000.000000,11514.000000,11517.000000,41.000000,211.000000
1578844800.000000,221400.000000,12085.000000,12117.000000,142642.000000,58810.000000,3245400.000000,12056.000000,12096.000000,40612.000000,44981.000000,5664600.000000,12054.000000,12079.000000,444.000000,3145.000000,13527000.000000,12000.000000,12026.000000,114.000000,1109.000000,21389400.000000,11632.000000,11661.000000,79.000000,576.000000,29251800.000000,11584.000000,11615.000000,55.000000,202.000000
1578931200.000000,135000.000000,12176.000000,12181.000000,104397.000000,39121.000000,3159000.000000,12156.000000,12155.000000,37503.000000,61784.000000,5578200.000000,12138.000000,12137.000000,530.000000,3386.000000,13440600.000000,12078.000000,12082.000000,168.000000,1072.000000,21303000.000000,11718.000000,11715.000000,80.000000,570.000000,29165400.000000,11671.000000,11672.000000,39.000000,210.000000
1579017600.000000,48600.000000,12159.000000,12063.000000,89882.000000,25911.000000,3072600.000000,12139.000000,12056.000000,65151.000000,76515.000000,5491800.000000,12120.000000,12035.000000,597.000000,3687.000000,13354200.000000,12066.000000,11985.000000,52.000000,1067.000000,21216600.000000,11700.000000,11621.000000,66.000000,571.000000,29079000.000000,11650.000000,11570.000000,59.000000,244.000000
